adj_lemma,TOTAL,negative,positive,ratio_neg,ratio_pos,bin_neg,bin_pos
sure,9666,9548,118,0.988,0.012,1.0,0.0
new,1492,1439,53,0.964,0.036,1.0,0.0
easy,1180,1142,38,0.968,0.032,1.0,0.0
cheap,733,717,16,0.978,0.022,1.0,0.0
happy,490,468,22,0.955,0.045,1.0,0.0
surprising,457,454,3,0.993,0.007,1.0,0.0
subtle,284,274,10,0.965,0.035,1.0,0.0
fun,243,238,5,0.979,0.021,1.0,0.0
thrilled,233,223,10,0.957,0.043,1.0,0.0
conducive,219,213,6,0.973,0.027,1.0,0.0
hard,218,210,8,0.963,0.037,1.0,0.0
healthy,211,201,10,0.953,0.047,1.0,0.0
certain,203,198,5,0.975,0.025,1.0,0.0
clear,1901,1755,146,0.923,0.077,0.8999999761581421,0.10000000149011612
ideal,463,433,30,0.935,0.065,0.8999999761581421,0.10000000149011612
accurate,437,376,61,0.86,0.14,0.8999999761581421,0.10000000149011612
good,372,321,51,0.863,0.137,0.8999999761581421,0.10000000149011612
great,342,321,21,0.939,0.061,0.8999999761581421,0.10000000149011612
fair,298,278,20,0.933,0.067,0.8999999761581421,0.10000000149011612
comfortable,223,202,21,0.906,0.094,0.8999999761581421,0.10000000149011612
ready,211,196,15,0.929,0.071,0.8999999761581421,0.10000000149011612
true,1817,1538,279,0.846,0.154,0.800000011920929,0.20000000298023224
TOTAL,66186,49576,16610,0.749,0.251,0.699999988079071,0.30000001192092896
alike,3517,2410,1107,0.685,0.315,0.699999988079071,0.30000001192092896
perfect,500,315,185,0.63,0.37,0.6000000238418579,0.4000000059604645
correct,819,280,539,0.342,0.658,0.30000001192092896,0.699999988079071
wrong,652,180,472,0.276,0.724,0.30000001192092896,0.699999988079071
identical,371,113,258,0.305,0.695,0.30000001192092896,0.699999988079071
right,8286,1769,6517,0.213,0.787,0.20000000298023224,0.800000011920929
parallel,230,51,179,0.222,0.778,0.20000000298023224,0.800000011920929
equal,578,77,501,0.133,0.867,0.10000000149011612,0.8999999761581421
same,537,50,487,0.093,0.907,0.10000000149011612,0.8999999761581421
similar,390,55,335,0.141,0.859,0.10000000149011612,0.8999999761581421
zero,354,18,336,0.051,0.949,0.10000000149011612,0.8999999761581421
enough,307,43,264,0.14,0.86,0.10000000149011612,0.8999999761581421
opposite,512,14,498,0.027,0.973,0.0,1.0
