hit_id,sent_text,lemma_window,colloc,sent_id,prev_sent,token_str,lemma_str,next_sent,neg_lemma,adv_lemma,adj_lemma,neg_form,adv_form,adj_form,neg_index,adv_index,adj_index,dep_neg_source,dep_neg_target,dep_neg_relation,dep_mod_source,dep_mod_target,dep_mod_relation,json_source,match_ix,category
apw_eng_20041224_0207_17:16-17-18,"Anatoliy Zaverenya , 43 , said he came to Kiev from the eastern city of Luhansk not so much to support Yanukovych as to defend Ukraine .","Anatoliy Zaverenya , 43 , say he come to Kiev from the eastern city of Luhansk not so much to support Yanukovych as to defend Ukraine .",,apw_eng_20041224_0207_17,The Ukrainian people will be their own masters of their land .  -RDQ-,"Anatoliy Zaverenya , 43 , said he came to Kiev from the eastern city of Luhansk not so much to support Yanukovych as to defend Ukraine .","Anatoliy Zaverenya , 43 , say he come to Kiev from the eastern city of Luhansk not so much to support Yanukovych as to defend Ukraine .","-LBQ-  If Yushchenko wins , Ukraine will be sold to the West , to the U.S. , to Americans ,  -RDQ-  he said .",not,so,much,not,so,much,16,17,18,"{'lemma': 'much', 'ix': 18, 'xpos': 'JJ', 'deprel': 'advmod', 'head': 'come'}","{'lemma': 'not', 'ix': 16, 'xpos': 'RB', 'deprel': 'dep', 'head': 'much'}",dep,"{'lemma': 'much', 'ix': 18, 'xpos': 'JJ', 'deprel': 'advmod', 'head': 'come'}","{'lemma': 'so', 'ix': 17, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'much'}",advmod,apw_eng_200412,16-17-18,immediateNeg
apw_eng_20041224_0195_8:2-3-4,"It was n't immediately possible to verify the claim by Richardson , a former ambassador to the United Nations .","it be not immediately possible to verify the claim by Richardson , a former ambassador to the United Nations .",,apw_eng_20041224_0195_8,"Later Friday , Gov. Bill Richardson of the U.S. state of New Mexico said in a statement that he had intervened on Aude 's behalf at the request of the actor 's aunt , contacting the Pakistani prime minister and other officials about the case .","it was n't immediately possible to verify the claim by Richardson , a former ambassador to the United Nations .","it be not immediately possible to verify the claim by Richardson , a former ambassador to the United Nations .",No official at the U.S. Embassy in Pakistan was immediately available for comment .,n't,immediately,possible,n't,immediately,possible,2,3,4,"{'lemma': 'possible', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 2, 'xpos': 'RB', 'deprel': 'neg', 'head': 'possible'}",neg,"{'lemma': 'possible', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'immediately', 'ix': 3, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'possible'}",advmod,apw_eng_200412,2-3-4,immediateNeg
apw_eng_20041224_0185_4:2-3-4,It was not immediately clear what caused the accident .,it be not immediately clear what cause the accident .,,apw_eng_20041224_0185_4,"The pilot , an instructor and a test examiner _ all aged in their 40s _ were killed , the investigators said .",it was not immediately clear what caused the accident .,it be not immediately clear what cause the accident .,,not,immediately,clear,not,immediately,clear,2,3,4,"{'lemma': 'clear', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 2, 'xpos': 'RB', 'deprel': 'neg', 'head': 'clear'}",neg,"{'lemma': 'clear', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'immediately', 'ix': 3, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'clear'}",advmod,apw_eng_200412,2-3-4,immediateNeg
apw_eng_20041224_0174_10:5-6-7,Details of the clash were not immediately clear .,detail of the clash be not immediately clear .,,apw_eng_20041224_0174_10,"Meanwhile in neighboring Zabul province , coalition forces on Wednesday captured seven other Taliban fighters , including Ahmadullah , a local commander , according to Gov. Khial Mohammed Hussaini .",details of the clash were not immediately clear .,detail of the clash be not immediately clear .,"Ahmadullah is considered one of the top two Taliban leaders in Zabul province , but is not in the inner circle of Taliban leader Mullah Omar .",not,immediately,clear,not,immediately,clear,5,6,7,"{'lemma': 'clear', 'ix': 7, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 5, 'xpos': 'RB', 'deprel': 'neg', 'head': 'clear'}",neg,"{'lemma': 'clear', 'ix': 7, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'immediately', 'ix': 6, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'clear'}",advmod,apw_eng_200412,5-6-7,immediateNeg
apw_eng_20041224_0172_8:12-13-14,"The outcome of the vote in one community , Yabed , was not immediately available .","the outcome of the vote in one community , Yabed , be not immediately available .",,apw_eng_20041224_0172_8,"In two towns , a joint Hamas-Fatah slate won , indicating that the rivalry was at times blunted by local issues and clan loyalties .","the outcome of the vote in one community , Yabed , was not immediately available .","the outcome of the vote in one community , Yabed , be not immediately available .","Hamas officials said the group won a majority in at least 17 local councils , based on reports from their election observers .",not,immediately,available,not,immediately,available,12,13,14,"{'lemma': 'available', 'ix': 14, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 12, 'xpos': 'RB', 'deprel': 'neg', 'head': 'available'}",neg,"{'lemma': 'available', 'ix': 14, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'immediately', 'ix': 13, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'available'}",advmod,apw_eng_200412,12-13-14,immediateNeg
apw_eng_20041224_0161_30:23-25-26,It is a difficult one to assess but there is no doubt we are giving him the right rehabilitation and hopefully it wo n't be too long before he is back .,it be a difficult one to assess but there be no doubt we are give he the right rehabilitation and hopefully it will not be too long before he be back .,,apw_eng_20041224_0161_30,-LBQ-  Ruud is longer term .,it is a difficult one to assess but there is no doubt we are giving him the right rehabilitation and hopefully it wo n't be too long before he is back .,it be a difficult one to assess but there be no doubt we are give he the right rehabilitation and hopefully it will not be too long before he be back .,We do n't want to force him when we do n't need to and we hope to have him for the AC Milan -LRB- Champions League -RRB- game -LRB- Feb. 23 -RRB- .  -RDQ-,n't,too,long,n't,too,long,23,25,26,"{'lemma': 'long', 'ix': 26, 'xpos': 'JJ', 'deprel': 'conj', 'head': 'one'}","{'lemma': 'not', 'ix': 23, 'xpos': 'RB', 'deprel': 'neg', 'head': 'long'}",neg,"{'lemma': 'long', 'ix': 26, 'xpos': 'JJ', 'deprel': 'conj', 'head': 'one'}","{'lemma': 'too', 'ix': 25, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'long'}",advmod,apw_eng_200412,23-25-26,immediateNeg
apw_eng_20041224_0160_3:2-3-4,It was not immediately clear why the plane lost cabin pressure .,it be not immediately clear why the plane lose cabin pressure .,,apw_eng_20041224_0160_3,"The MNG Airlines MD-82 was carrying 159 passengers from the southern Turkish resort of Antalya to Hamburg , Germany , when it suddenly lost cabin pressure , said Rasit Suerkan , a spokesman for Istanbul Ataturk Airport .",it was not immediately clear why the plane lost cabin pressure .,it be not immediately clear why the plane lose cabin pressure .,"Nobody was seriously injured , but several passengers complained about ear aches and similar ailments , Suerkan said .",not,immediately,clear,not,immediately,clear,2,3,4,"{'lemma': 'clear', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 2, 'xpos': 'RB', 'deprel': 'neg', 'head': 'clear'}",neg,"{'lemma': 'clear', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'immediately', 'ix': 3, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'clear'}",advmod,apw_eng_200412,2-3-4,immediateNeg
apw_eng_20041224_0136_5:3-4-5,McDonald officials were not immediately available to confirm the report .,McDonald official be not immediately available to confirm the report .,,apw_eng_20041224_0136_5,"-LBQ-  The Happy Price offering drove up business significantly , along with our home delivery services ... and we now plan to extend the -LRB- Happy Price Menu -RRB- to add iced tea , coke float and potato wedges  -RDQ-  for the same price , starting in 2005 , Jatia was quoted as saying .",McDonald officials were not immediately available to confirm the report .,McDonald official be not immediately available to confirm the report .,"In India , McDonald 's restaurants are now located mainly in big city such as New Delhi , Bombay and Calcutta .",not,immediately,available,not,immediately,available,3,4,5,"{'lemma': 'available', 'ix': 5, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 3, 'xpos': 'RB', 'deprel': 'neg', 'head': 'available'}",neg,"{'lemma': 'available', 'ix': 5, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'immediately', 'ix': 4, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'available'}",advmod,apw_eng_200412,3-4-5,immediateNeg
apw_eng_20041224_0123_8:3-4-5,Police officials were not immediately available for comment .,Police official be not immediately available for comment .,,apw_eng_20041224_0123_8,"The 50-year old driver , hospitalized with hand and head injuries , has been placed under arrest for investigations , the New Straits Times newspaper said .",Police officials were not immediately available for comment .,Police official be not immediately available for comment .,Initial investigations showed the driver lost control on a sharp bend and the bus plummeted into a 20-meter -LRB- 60-foot -RRB- ravine .,not,immediately,available,not,immediately,available,3,4,5,"{'lemma': 'available', 'ix': 5, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 3, 'xpos': 'RB', 'deprel': 'neg', 'head': 'available'}",neg,"{'lemma': 'available', 'ix': 5, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'immediately', 'ix': 4, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'available'}",advmod,apw_eng_200412,3-4-5,immediateNeg
apw_eng_20041224_0116_5:2-3-4,It was not immediately clear what started the blaze .,it be not immediately clear what start the blaze .,,apw_eng_20041224_0116_5,"-LBQ-  The engine room has suffered damages and the ship will have be towed either to Dubai or to any other port for repair ,  -RDQ-  Wickremanayake said .",it was not immediately clear what started the blaze .,it be not immediately clear what start the blaze .,"The crew members , all Greeks , were safe , Wickremanayake said .",not,immediately,clear,not,immediately,clear,2,3,4,"{'lemma': 'clear', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 2, 'xpos': 'RB', 'deprel': 'neg', 'head': 'clear'}",neg,"{'lemma': 'clear', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'immediately', 'ix': 3, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'clear'}",advmod,apw_eng_200412,2-3-4,immediateNeg
