hit_id,category,colloc,adv,adj,sent_text,sent_id,adv_index,json_source,prev_sent,next_sent,hit_id,status
nyt_eng_19940701_0027_53:12,devel,that_different,that,different,"In most of the ways that matter , he is not that different from many other top-level Wells Fargo employees .",nyt_eng_19940701_0027_53,12,nyt_eng_199407,"But after about five minutes of face-to-face conversation with Jacobson , it becomes pretty easy to understand his own hoarse , slightly slurred speech .","He dresses like a banker  -COL-  gray trousers and white shirts , ties in dark paisleys or the occasional power yellow .",nyt_eng_19940701_0027,53:12
nyt_eng_19940701_0027_53:12,devel,that_different,that,different,"In most of the ways that matter , he is not that different from many other top-level Wells Fargo employees .",nyt_eng_19940701_0027_53,12,nyt_eng_199407,"But after about five minutes of face-to-face conversation with Jacobson , it becomes pretty easy to understand his own hoarse , slightly slurred speech .","He dresses like a banker  -COL-  gray trousers and white shirts , ties in dark paisleys or the occasional power yellow .",nyt_eng_19940701_0027,53:12
nyt_eng_19940701_0027_53:12,devel,that_different,that,different,"In most of the ways that matter , he is not that different from many other top-level Wells Fargo employees .",nyt_eng_19940701_0027_53,12,nyt_eng_199407,"But after about five minutes of face-to-face conversation with Jacobson , it becomes pretty easy to understand his own hoarse , slightly slurred speech .","He dresses like a banker  -COL-  gray trousers and white shirts , ties in dark paisleys or the occasional power yellow .",nyt_eng_19940701_0027,53:12
nyt_eng_19940701_0027_53:12,devel,that_different,that,different,"In most of the ways that matter , he is not that different from many other top-level Wells Fargo employees .",nyt_eng_19940701_0027_53,12,nyt_eng_199407,"But after about five minutes of face-to-face conversation with Jacobson , it becomes pretty easy to understand his own hoarse , slightly slurred speech .","He dresses like a banker  -COL-  gray trousers and white shirts , ties in dark paisleys or the occasional power yellow .",nyt_eng_19940701_0027,53:12
nyt_eng_19940701_0176_1:5,devel,as_lurid,as,lurid,"It may not be as lurid as the O.J. Simpson saga , but the surprise announcement of a possible $ 2 billion CBS-QVC merger has all the elements of high-finance drama .",nyt_eng_19940701_0176_1,5,nyt_eng_199407,,It marks what may be the end of the house Bill Paley built -- and perhaps a new beginning .,nyt_eng_19940701_0176,1:5
nyt_eng_19940702_0043_1:5,devel,as_exciting,as,exciting,"Maybe it was n't as exciting as the World Cup , but if you were watching the White House last week you still needed a scorecard , and even then it was hard to make out just what game was being played .",nyt_eng_19940702_0043_1,5,nyt_eng_199407,,"Before the maneuvering , Thomas F. McLarty III was listed in the lineup as chief of staff , Leon E. Panetta as budget director and David Gergen as counselor .",nyt_eng_19940702_0043,1:5
nyt_eng_19940702_0150_1:5,devel,about_soccer,about,soccer,This is not just about soccer .,nyt_eng_19940702_0150_1,5,nyt_eng_199407,,Let us make this clear .,nyt_eng_19940702_0150,1:5
nyt_eng_19940702_0151_1:48,devel,so_stingy,so,stingy,"On this rolling expanse of tall-grass prairie , where many Shakopee Mdewekantan once barely eked out a living by stripping copper and selling cigarettes , or scraped along on welfare , tribal elders would remind children growing up in rickety trailers that life had not always been so stingy .",nyt_eng_19940702_0151_1,48,nyt_eng_199407,,The elders spoke of a time when great herds of roaming buffalo thundered on the plains with a promise of abundance for American Indians .,nyt_eng_19940702_0151,1:48
nyt_eng_19940703_0041_2:21,devel,always_easy,always,easy,"You ca n't tell one from another , except for the faces that front them , and it is not always easy to tell a television news magazine from a television tabloid .",nyt_eng_19940703_0041_2,21,nyt_eng_199407,"While reducing foreign bureaus , the networks have been investing in news magazines , most of which have lately been providing weekly updates on O.J. & Co. .",The expenditure of news talent is prodigious .,nyt_eng_19940703_0041,2:21
nyt_eng_19940707_0157_49:5,devel,completely_fossilized,completely,fossilized,"The bones are not completely fossilized , and therefore much of their original phosphate mineral has survived during the 65 million years the animal lay sealed in rock .",nyt_eng_19940707_0157_49,5,nyt_eng_199407,skeleton that was excavated in 1990 from the Hell Creek Formation in Montana .,,nyt_eng_19940707_0157,49:5
nyt_eng_19940714_0176_21:30,devel,very_welcome,very,welcome,"He ca n't wait , for example , to get out of that silly desert commune -- whose peace-loving brotherhood of residents make it amply clear he 's not very welcome , anyway .",nyt_eng_19940714_0176_21,30,nyt_eng_199407,"Faced with too extreme examples of the hippie lifestyle , Billy gets paranoid and restless .","The good Captain is more comfortable with vague notions of freedom , spirituality and natural simplicity .",nyt_eng_19940714_0176,21:30
nyt_eng_19940714_0176_21:30,devel,very_welcome,very,welcome,"He ca n't wait , for example , to get out of that silly desert commune -- whose peace-loving brotherhood of residents make it amply clear he 's not very welcome , anyway .",nyt_eng_19940714_0176_21,30,nyt_eng_199407,"Faced with too extreme examples of the hippie lifestyle , Billy gets paranoid and restless .","The good Captain is more comfortable with vague notions of freedom , spirituality and natural simplicity .",nyt_eng_19940714_0176,21:30
nyt_eng_19940714_0176_21:30,devel,very_welcome,very,welcome,"He ca n't wait , for example , to get out of that silly desert commune -- whose peace-loving brotherhood of residents make it amply clear he 's not very welcome , anyway .",nyt_eng_19940714_0176_21,30,nyt_eng_199407,"Faced with too extreme examples of the hippie lifestyle , Billy gets paranoid and restless .","The good Captain is more comfortable with vague notions of freedom , spirituality and natural simplicity .",nyt_eng_19940714_0176,21:30
nyt_eng_19940714_0176_21:30,devel,very_welcome,very,welcome,"He ca n't wait , for example , to get out of that silly desert commune -- whose peace-loving brotherhood of residents make it amply clear he 's not very welcome , anyway .",nyt_eng_19940714_0176_21,30,nyt_eng_199407,"Faced with too extreme examples of the hippie lifestyle , Billy gets paranoid and restless .","The good Captain is more comfortable with vague notions of freedom , spirituality and natural simplicity .",nyt_eng_19940714_0176,21:30
nyt_eng_19940714_0451_1:8,devel,so_complicated,so,complicated,"-LBQ-  The city , it is not so complicated ,  -RDQ-  said Macsuara .",nyt_eng_19940714_0451_1,8,nyt_eng_199407,,"-LBQ-  The people , they are complicated .",nyt_eng_19940714_0451,1:8
nyt_eng_19940714_0451_1:8,devel,so_complicated,so,complicated,"-LBQ-  The city , it is not so complicated ,  -RDQ-  said Macsuara .",nyt_eng_19940714_0451_1,8,nyt_eng_199407,,"-LBQ-  The people , they are complicated .",nyt_eng_19940714_0451,1:8
nyt_eng_19940714_0451_1:8,devel,so_complicated,so,complicated,"-LBQ-  The city , it is not so complicated ,  -RDQ-  said Macsuara .",nyt_eng_19940714_0451_1,8,nyt_eng_199407,,"-LBQ-  The people , they are complicated .",nyt_eng_19940714_0451,1:8
nyt_eng_19940714_0451_1:8,devel,so_complicated,so,complicated,"-LBQ-  The city , it is not so complicated ,  -RDQ-  said Macsuara .",nyt_eng_19940714_0451_1,8,nyt_eng_199407,,"-LBQ-  The people , they are complicated .",nyt_eng_19940714_0451,1:8
nyt_eng_19940716_0030_38:10,devel,too_bad,too,bad,"The way I am playing , it 's not too bad for a 44-year-old has-been .  -RDQ-",nyt_eng_19940716_0030_38,10,nyt_eng_199407,"-LBQ-  Earlier this year ,  -RDQ-  Watson said ,  -LBQ-  I said it was really not a matter of if I will win again , just a matter of when . ...",,nyt_eng_19940716_0030,38:10
nyt_eng_19940716_0030_38:10,devel,too_bad,too,bad,"The way I am playing , it 's not too bad for a 44-year-old has-been .  -RDQ-",nyt_eng_19940716_0030_38,10,nyt_eng_199407,"-LBQ-  Earlier this year ,  -RDQ-  Watson said ,  -LBQ-  I said it was really not a matter of if I will win again , just a matter of when . ...",,nyt_eng_19940716_0030,38:10
