key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,mutual_information,deltaP_min,deltaP_max,deltaP_abs_max,deltaP_mean,unexpected_f,unexpected_ratio,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt,first_char
NEG~not,NEGMIR,not,1404,240.6632,4958.02838,4.134942,0.82927155,0.004812636,1.0,0.004812636,291732,1404,1701929,1404.0,290328.0,0.0,1410197.0,291732.0,1410197.0,1404.0,1700525.0,291491.336771393,1163.336771393,1409033.663228607,31.047161,0.009579171,0.76595736,0.004812636,0.82927155,0.82927155,0.4170421,1163.3368,0.8285875,8.781245,8.636492,8.848303,9.017045,10.14252,9.221971,37.469987990390386,540.122208393619,37.469987990390386,n
NEG~ever,NEGMIR,ever,4709,867.3475,14253.56753,1.8183038,0.76148385,0.015892627,0.9306324,0.016141526,291732,5060,1701929,4709.0,287023.0,351.0,1409846.0,291732.0,1410197.0,5060.0,1696869.0,290864.652466701,4192.652466701,1406004.347533299,55.982685,0.03173266,0.73473555,0.015892627,0.76148385,0.76148385,0.38868824,3841.6525,0.8158107,5.6286125,5.6065893,5.6385136,5.662613,5.797212,5.690378,68.62215385719105,540.122208393619,71.13367697511495,e
NEG~any,NEGMIR,any,1066,205.1808,2985.75246,1.5948797,0.7196533,0.003561144,0.89055973,0.003654039,291732,1197,1701929,1066.0,290666.0,131.0,1410066.0,291732.0,1410197.0,1197.0,1700732.0,291526.819170482,991.819170482,1409205.180829518,26.365337,0.007278214,0.7156204,0.003561144,0.7196533,0.7196533,0.36160722,860.8192,0.8075227,4.654054,4.61855,4.670035,4.7089853,4.9279494,4.7539525,32.64965543462902,540.122208393619,34.597687784012386,a
NEG~necessarily,NEGMIR,necessarily,963,189.7537,2597.67963,1.5096706,0.6989608,0.003198861,0.8699187,0.003300975,291732,1107,1701929,963.0,290769.0,144.0,1410053.0,291732.0,1410197.0,1107.0,1700822.0,291542.246300521,917.246300521,1409279.753699479,24.917513,0.006576993,0.70543605,0.003198861,0.6989608,0.6989608,0.35107982,773.2463,0.8029557,4.3905134,4.355878,4.4060965,4.44406,4.657023,4.4878573,31.0322412983658,540.122208393619,33.27160951922825,n
NEG~remotely,NEGMIR,remotely,1840,401.2768,4256.34369,1.2515535,0.61542284,0.005951889,0.78598887,0.006307159,291732,2341,1701929,1840.0,289892.0,501.0,1409696.0,291732.0,1410197.0,2341.0,1699588.0,291330.723206432,1939.723206432,1408257.276793568,33.54041,0.0125139,0.6613738,0.005951889,0.61542284,0.61542284,0.31068736,1438.7232,0.7819148,3.7890248,3.7682834,3.7983365,3.8209684,3.9465146,3.846984,42.89522117905443,540.122208393619,48.38388161361178,r
NEG~that,NEGMIR,that,4308,941.7406,9957.36739,1.2504491,0.6146999,0.013925961,0.7841281,0.014766978,291732,5494,1701929,4308.0,287424.0,1186.0,1409011.0,291732.0,1410197.0,5494.0,1696435.0,290790.259417402,4552.259417402,1405644.740582598,51.28729,0.028988043,0.6603444,0.013925961,0.6146999,0.6146999,0.31431293,3366.2594,0.7813973,3.8977764,3.8840632,3.903929,3.9188743,4.0015388,3.9360383,65.63535632568775,540.122208393619,74.1215218408257,t
NEG~exactly,NEGMIR,exactly,813,178.4405,1860.72316,1.2369082,0.60994035,0.002625125,0.7809798,0.002786804,291732,1041,1701929,813.0,290919.0,228.0,1409969.0,291732.0,1410197.0,1041.0,1700888.0,291553.559529217,862.559529217,1409334.440470784,22.254974,0.005553791,0.6585972,0.002625125,0.60994035,0.60994035,0.30628273,634.5595000000001,0.78051597,3.5745046,3.5442457,3.588097,3.6211548,3.805135,3.659194,28.513154858766505,540.122208393619,32.264531609803356,e
NEG~particularly,NEGMIR,particularly,9243,2228.8775,18583.81213,1.087709,0.5435764,0.029016895,0.71083593,0.031683188,291732,13003,1701929,9243.0,282489.0,3760.0,1406437.0,291732.0,1410197.0,13003.0,1688926.0,289503.122534489,10774.122534489,1399422.877465511,72.956985,0.06066254,0.61772674,0.029016895,0.5435764,0.5435764,0.28629667,7014.1224999999995,0.7588578,3.4304397,3.4222088,3.4341302,3.4430883,3.4924679,3.4533644,96.1405221537724,540.122208393619,114.03069762129844,p
NEG~inherently,NEGMIR,inherently,2864,879.8606,3925.30576,0.788999,0.3877151,0.008208234,0.5579583,0.00981723,291732,5133,1701929,2864.0,288868.0,2269.0,1407928.0,291732.0,1410197.0,5133.0,1696796.0,290852.139350114,4253.139350114,1405943.860649886,37.075386,0.019294966,0.5125591,0.008208234,0.3877151,0.3877151,0.19796167,1984.1394,0.6927861,2.4041686,2.3920982,2.4095786,2.422704,2.4949148,2.4377513,53.51635264103861,540.122208393619,71.64495795239188,i
NEG~especially,NEGMIR,especially,1569,672.9657,1140.80289,0.5092203,0.22875854,0.003706826,0.3996434,0.005378224,291732,3926,1701929,1569.0,290163.0,2357.0,1407840.0,291732.0,1410197.0,3926.0,1698003.0,291059.034305191,3253.034305191,1406943.965694809,22.62107,0.010613614,0.36763,0.003706826,0.22875854,0.22875854,0.116232686,896.0343,0.5710862,1.4463904,1.4321501,1.452768,1.468229,1.5529857,1.485933,39.61060464067672,540.122208393619,62.65780079128216,e
